IlmnID	final_gene_name_hg19	final_gene_name_hg38
cg01832419	KLHL15	KLHL15
cg01869765	SPACA5	SPACA5
cg01873087	TBC1D25	TBC1D25
cg01891172	KLHL34	KLHL34
cg01913196	DCAF12L1	DCAF12L1
cg01924074	HUWE1	HUWE1
cg01991530	MBTPS2	MBTPS2
cg01992935	KCNE1L	KCNE1L
cg01997410	RGAG4	RGAG4
cg01997410	RGAG4	RP11-262D11.1
cg01999076	RP2	RP2
cg02035866	PHKA2	PHKA2
cg02127807	LRCH2	LRCH2
cg02156782	PPP1R3F	PPP1R3F
cg02157475	CHIC1	CHIC1
cg02157475	CHIC1	MAP2K4P1
cg02161919	PHKA2	PHKA2
cg02210067	MSL3	MSL3
cg02261899	DCAF12L1	DCAF12L1
cg02283535	IL1RAPL2	IL1RAPL2
cg02286623	RAI2	RAI2
cg02354343	RAP2C	RAP2C
cg02354343	RAP2C	RAP2C-AS1
cg02360578	CXorf57	CXorf57
cg02496423	SMS	SMS
cg02580986	MUM1L1	MUM1L1
cg02602528	PLP2	PLP2
cg02624484	KLHL15	KLHL15
cg02634083	HMGB3	HMGB3
cg02775175	EFNB1	EFNB1
cg02864732	FLJ30058	ARHGAP36
cg02864732	FLJ30058	LINC01201
cg02879223	DLG3	DLG3
cg02921434	FMR1	FMR1
cg02921434	FMR1	FMR1-AS1
cg02921434	FMR1	FMR1-AS1_2
cg02954623	APOOL	APOOL
cg02994943	MPP1	MPP1
cg03100923	FGF13	FGF13
cg03102729	GLUD2	GLUD2
cg03202526	SOX3	SOX3
cg03219705	TSPAN7	RP5-972B16.2
cg03219705	TSPAN7	TSPAN7
cg03245429	LUZP4	LUZP4
cg03280420	SLC16A2	SLC16A2
cg03360374	GPKOW	GPKOW
cg03364121	CXorf42	NKAPP1
cg03391801	EMD	EMD
cg03505772	PABPC1L2A	PABPC1L2A
cg03505772	PABPC1L2A	RP11-493K23.4
cg03517379	NKRF	NKRF
cg03523199	HPRT1	HPRT1
cg03679005	RPL39	RPL39
cg03728850	USP51	USP51
cg03748372	PPP1R3F	PPP1R3F
cg03751162	TSR2	TSR2
cg03801901	PPP1R2P9	PPP1R2P9
cg03825574	BCORL1	BCORL1
cg03894002	DLG3	DLG3
cg03944921	WDR44	WDR44
cg03978312	MCART6	SLC25A53
cg04027004	TSC22D3	TSC22D3
cg04029282	MBNL3	MBNL3
cg04031645	HUWE1	HUWE1
cg04061482	DOCK11	DOCK11
cg04072009	RGAG4	RGAG4
cg04072009	RGAG4	RP11-262D11.1
cg04075675	MTMR1	MTMR1
cg04149024	ATP6AP1	ATP6AP1
cg04149024	ATP6AP1	CH17-340M24.3
cg04288012	HUWE1	HUWE1
cg04297907	CLCN4	CLCN4
cg04302178	XIAP	XIAP
cg04317640	SLC16A2	SLC16A2
cg04327763	RPL39	RPL39
cg04344997	EMD	EMD
cg04345928	TSPAN7	RP5-972B16.2
cg04345928	TSPAN7	TSPAN7
cg04371001	UBL4A	UBL4A
cg04402486	RAP2C	RAP2C
cg04402486	RAP2C	RAP2C-AS1
cg04406445	MAOA	MAOA
cg04675919	PRICKLE3	PRICKLE3
cg04702045	OPHN1	OPHN1
cg04709809	ZNF630	ZNF630
cg04716051	CDKL5	CDKL5
cg04730443	MAGEB6	MAGEB6
cg04836978	LOC139201	CHIC1
cg04836978	LOC139201	MAP2K4P1
cg04856605	IGBP1	IGBP1
cg04924141	RAB39B	RAB39B
cg04932755	EFNB1	EFNB1
cg05028071	TFE3	TFE3
cg05049545	SCML2	SCML2
cg05064925	COL4A6	COL4A6
cg05104476	CCDC22	CCDC22
cg05109065	LOC139201	CHIC1
cg05109065	LOC139201	MAP2K4P1
cg05114100	LUZP4	LUZP4
cg05134041	POU3F4	POU3F4
cg05134041	POU3F4	RP3-326L13.2
cg05135828	SLITRK4	SLITRK4
cg05137263	NR0B1	NR0B1
cg05172693	CXorf42	NKAPP1
cg05184682	MBTPS2	MBTPS2
cg05222959	GDI1	GDI1
cg05223760	PPP1R3F	PPP1R3F
cg05379196	HMGB3	HMGB3
cg05397816	ZCCHC12	ZCCHC12
cg05414241	NUDT11	NUDT11
cg05425577	FGD1	FGD1
cg05443523	MAOA	MAOA
cg05452887	NDUFA1	NDUFA1
cg05452887	NDUFA1	RNF113A
cg05454424	PPP1R2P9	PPP1R2P9
cg05456652	FAM47B	FAM47B
cg05467600	ESX1	ESX1
cg05600581	NCRNA00087	LINC00087
cg05600581	NCRNA00087	RP11-85L21.4
cg05605384	TAF9B	TAF9B
cg05630320	HPRT1	HPRT1
cg05687312	FAM123B	AMER1
cg05785344	BCORL1	BCORL1
cg05788681	ESX1	ESX1
cg05803370	UBL4A	UBL4A
cg05835545	BRWD3	BRWD3
cg05849149	EFNB1	EFNB1
cg05849875	GABRQ	GABRQ
cg05893072	IRS4	IRS4
cg05893072	IRS4	RP6-24A23.3
cg05905814	HMGB3	HMGB3
cg05935584	HMGB3	HMGB3
cg05958126	MAP3K15	MAP3K15
cg05994819	CXorf39	CXorf39
cg06027835	WDR13	WDR13
cg06041068	ABCD1	ABCD1
cg06041068	ABCD1	BCAP31
cg06042004	LAGE3	LAGE3
cg06051391	RAP2C	RAP2C
cg06051391	RAP2C	RAP2C-AS1
cg06055478	ARHGEF9	ARHGEF9
cg06069996	TSR2	TSR2
cg06072560	CSTF2	CSTF2
cg06079963	POLA1	POLA1
cg06097615	FAM155B	AL158069.1
cg06097615	FAM155B	FAM155B
cg06104510	PHKA2	PHKA2
cg06136002	HMGB3	HMGB3
cg06137672	SSR4	IDH3G
cg06137672	SSR4	SSR4
cg06164717	GPR101	GPR101
cg06172626	TBC1D25	TBC1D25
cg06272245	TBC1D25	TBC1D25
cg06293983	ARHGEF6	ARHGEF6
cg06380355	NUDT11	NUDT11
cg06408185	CDKL5	CDKL5
cg06443675	MCART6	SLC25A53
cg06443888	IRS4	IRS4
cg06444329	CXorf26	PBDC1
cg06469252	GPR101	GPR101
cg06558166	GPC4	GPC4
cg06615444	MAP3K15	MAP3K15
cg06624970	USP27X	USP27X
cg06624970	USP27X	USP27X-AS1
cg06673178	SHROOM4	SHROOM4
cg06720669	KCNE1L	ACSL4
cg06720669	KCNE1L	KCNE5
cg06775759	KLHL34	KLHL34
cg06899582	ZNF280C	ZNF280C
cg06915321	ZIC3	ZIC3
cg06922569	ARAF	ARAF
cg06945800	ANKRD58	SOWAHD
cg07109010	WDR45	WDR45
cg07153944	HDAC6	HDAC6
cg07187289	SSR4	IDH3G
cg07187289	SSR4	SSR4
cg07344627	DCAF12L1	DCAF12L1
cg07363416	MAGT1	MAGT1
cg07381502	ATP6AP2	ATP6AP2
cg07386410	USP51	USP51
cg07395435	MCF2	MCF2
cg07439872	GPR101	GPR101
cg07446674	MAP7D3	MAP7D3
cg07464598	ARAF	ARAF
cg07519908	CDKL5	CDKL5
cg07653728	PNCK	PNCK
cg07674139	NRK	NRK
cg07674503	RAP2C	RAP2C
cg07674503	RAP2C	RAP2C-AS1
cg07693661	NAP1L2	NAP1L2
cg07758529	IL1RAPL2	IL1RAPL2
cg07779434	MOSPD2	FANCB
cg07779434	MOSPD2	MOSPD2
cg07781082	PGK1	PGK1
cg07809462	ZCCHC12	ZCCHC12
cg07822777	ESX1	ESX1
cg07823797	NCRNA00182	FTX
cg07825508	RPL36A	BTK
cg07825508	RPL36A	RPL36A
cg07825508	RPL36A	RPL36A-HNRNPH2
cg07834773	DGKK	DGKK
cg07858069	SMS	SMS
cg07874334	XIAP	XIAP
cg07902213	THOC2	THOC2
cg07910525	NUDT10	NUDT10
cg07929406	SOX3	SOX3
cg07930217	PRPS1	PRPS1
cg07954607	TCEAL2	TCEAL2
cg07989867	MAGEE1	MAGEE1
cg07994386	FRMPD4	FRMPD4
cg08059778	BCORL1	BCORL1
cg08063601	AR	AL049564.1
cg08063601	AR	AR
cg08076861	ZNF275	ZNF275
cg08100265	THOC2	THOC2
cg08100618	DCAF12L1	DCAF12L1
cg08108619	ZNF711	ZNF711
cg08199506	FAM120C	FAM120C
cg08276328	MAGEC1	MAGEC1
cg08282969	XIAP	XIAP
cg08298085	ATP7A	ATP7A
cg08298085	ATP7A	RP5-1000K24.2
cg08343300	INGX	INGX
cg08343300	INGX	TAF1
cg08408091	FAM50A	FAM50A
cg08437835	MOSPD2	FANCB
cg08437835	MOSPD2	MOSPD2
cg08476890	MCF2	MCF2
cg08588626	NHS	NHS
cg08623691	SNX12	SNX12
cg08704539	TAF7L	TAF7L
cg08725455	GPR173	GPR173
cg08783090	GABRE	GABRE
cg08784874	CUL4B	CUL4B
cg08796898	HUWE1	HUWE1
cg08812897	RPS6KA3	RPS6KA3
cg08882363	ZNF81	AL022578.1
cg08882363	ZNF81	ZNF81
cg08905118	RP2	RP2
cg08952424	MED12	MED12
cg08969352	MOSPD2	FANCB
cg08969352	MOSPD2	MOSPD2
cg09034929	SNX12	SNX12
cg09038535	FAM120C	FAM120C
cg09060772	FAM155B	AL158069.1
cg09060772	FAM155B	FAM155B
cg09070199	SPIN4	LINC01278
cg09070199	SPIN4	SPIN4
cg09070199	SPIN4	SPIN4-AS1
cg09109599	EFNB1	EFNB1
cg09112156	LDOC1	LDOC1
cg09146364	FAM155B	AL158069.1
cg09146364	FAM155B	FAM155B
cg09207137	SMS	SMS
cg09285672	GPKOW	GPKOW
cg09406238	MTMR8	MTMR8
cg09525227	ESX1	ESX1
cg09624684	ZNF275	ZNF275
cg09656426	FGF13	FGF13
cg09666011	UBQLN2	UBQLN2
cg09687738	HTR2C	HTR2C
cg09738386	RPL36A	BTK
cg09738386	RPL36A	RPL36A
cg09738386	RPL36A	RPL36A-HNRNPH2
cg09786233	SPIN4	LINC01278
cg09786233	SPIN4	SPIN4
cg09786233	SPIN4	SPIN4-AS1
cg09790289	PGK1	PGK1
cg09799350	SCML2	SCML2
cg09815793	POU3F4	POU3F4
cg09815793	POU3F4	RP3-326L13.2
cg09850561	TSPAN7	RP5-972B16.2
cg09850561	TSPAN7	TSPAN7
cg09868337	PLXNA3	PLXNA3
cg09990556	ZNF711	AC003001.1
cg09990556	ZNF711	ZNF711
cg09998474	MAP3K7IP3	TAB3
cg10052922	FGF13	FGF13
cg10055097	MAGIX	MAGIX
cg10078687	KIAA2022	KIAA2022
cg10201390	DYNLT3	DYNLT3
cg10201390	DYNLT3	RP5-972B16.2
cg10274815	EFNB1	EFNB1
cg10288278	SLITRK4	SLITRK4
cg10291990	NR0B1	NR0B1
cg10347293	ATP6AP2	ATP6AP2
cg10421300	RAB9B	RAB9B
cg10460864	PDHA1	PDHA1
cg10473383	ZNF711	AC003001.1
cg10473383	ZNF711	ZNF711
cg10848980	PRAF2	AF196779.12
cg10848980	PRAF2	PRAF2
cg10873964	XIAP	XIAP
cg10914789	DUSP9	DUSP9
cg10950266	ARMCX4	ARMCX4
cg10950413	UBQLN2	UBQLN2
cg10983111	SYP	SYP
cg10983111	SYP	SYP-AS1
cg10987536	HUWE1	HUWE1
cg10991108	WDR45	WDR45
cg10991514	DCAF12L2	DCAF12L2
cg11005845	LDOC1	LDOC1
cg11107468	FAM123B	AMER1
cg11111131	CXorf57	CXorf57
cg11152253	WDR45	WDR45
cg11184796	CCDC22	CCDC22
cg11186637	RPL39	RPL39
cg11186981	HMGB3	HMGB3
cg11194545	NRK	NRK
cg11271681	APLN	APLN
cg11281291	ARHGEF9	ARHGEF9
cg11329209	FAM155B	AL158069.1
cg11329209	FAM155B	FAM155B
cg11409998	SOX3	SOX3
cg11458217	LOC644538	SMIM10
cg11506821	MECP2	MECP2
cg11637006	SH3KBP1	SH3KBP1
cg11638117	SOX3	SOX3
cg11653314	RPS6KA3	RPS6KA3
cg11704979	ZNF275	ZNF275
cg11721100	MAP7D2	MAP7D2
cg11825731	TFE3	TFE3
cg11863519	MECP2	MECP2
cg11875624	FGF13	FGF13
cg11957438	BRWD3	BRWD3
cg12026625	PLP2	PLP2
cg12039967	YIPF6	YIPF6
cg12064531	USP51	USP51
cg12165338	GSPT2	GSPT2
cg12228772	SPIN4	LINC01278
cg12228772	SPIN4	SPIN4
cg12228772	SPIN4	SPIN4-AS1
cg12284142	HMGB3	HMGB3
cg12312457	MTMR8	MTMR8
cg12375308	XIAP	XIAP
cg12459719	CSTF2	CSTF2
cg12521790	SYP	SYP
cg12521790	SYP	SYP-AS1
cg12544391	SAT1	RP13-314C10.5
cg12544391	SAT1	SAT1
cg12584551	OPHN1	OPHN1
cg12586718	UBL4A	UBL4A
cg12704708	PPP1R3F	PPP1R3F
cg12727431	NAA10	ARHGAP4
cg12727431	NAA10	NAA10
cg12727431	NAA10	RENBP
cg12920408	RPL36A	BTK
cg12920408	RPL36A	RPL36A
cg12920408	RPL36A	RPL36A-HNRNPH2
cg12932046	ZNF630	ZNF630
cg13095029	GLUD2	GLUD2
cg13130271	PCSK1N	PCSK1N
cg13182391	RAI2	RAI2
cg13190238	PRDX4	PRDX4
cg13192155	ERAS	ERAS
cg13203541	PGK1	PGK1
cg13232664	RAP2C	RAP2C
cg13232664	RAP2C	RAP2C-AS1
cg13241003	MSL3	MSL3
cg13311758	APEX2	APEX2
cg13371527	ARAF	ARAF
cg13423140	AVPR2	AVPR2
cg13423140	AVPR2	L1CAM
cg13574945	OTUD5	OTUD5
cg13628616	CXorf42	NKAPP1
cg13640071	TCEAL7	TCEAL7
cg13649400	FAM120C	FAM120C
cg13723766	NKRF	NKRF
cg13744306	PPP1R3F	PPP1R3F
cg13747960	ABCD1	ABCD1
cg13747960	ABCD1	BCAP31
cg13786096	ZBTB33	ZBTB33
cg13788004	MAP3K7IP3	TAB3
cg13789561	ARAF	ARAF
cg13797960	STARD8	STARD8
cg13915481	RAI2	RAI2
cg13941987	BCORL1	BCORL1
cg13974562	RENBP	RENBP
cg13985405	TCEAL6	TCEAL6
cg14022645	TFE3	TFE3
cg14057181	CXorf57	CXorf57
cg14113919	MAP7D2	MAP7D2
cg14116332	COX7B	COX7B
cg14123135	MSN	MSN
cg14214586	WDR44	WDR44
cg14247154	MTMR8	MTMR8
cg14349378	SLC6A8	PNCK
cg14349378	SLC6A8	SLC6A8
cg14514403	ARX	ARX
cg14711543	TCEAL2	TCEAL2
cg14720319	CCDC160	CCDC160
cg14725109	ZNF81	AL022578.1
cg14725109	ZNF81	ZNF81
cg14828865	OPHN1	OPHN1
cg14949922	RP2	RP2
cg14970569	NCRNA00086	LINC00086
cg14993186	RPS6KA6	RPS6KA6
cg15043283	FAM127A	FAM127A
cg15075851	HPRT1	HPRT1
cg15165694	SLC25A43	SLC25A43
cg15199886	SYP	SYP
cg15199886	SYP	SYP-AS1
cg15255859	MOSPD2	FANCB
cg15255859	MOSPD2	MOSPD2
cg15418221	PGK1	PGK1
cg15450782	FAM120C	FAM120C
cg15511516	CETN2	CETN2
cg15511516	CETN2	NSDHL
cg15521289	RNF128	RNF128
cg15686826	XKRX	XKRX
cg15706156	GABRQ	GABRQ
cg15755092	SLC25A5	SLC25A5
cg15755092	SLC25A5	SLC25A5-AS1
cg15755924	RNF113A	NDUFA1
cg15755924	RNF113A	RNF113A
cg15757320	NKRF	NKRF
cg15816181	POU3F4	POU3F4
cg15816181	POU3F4	RP3-326L13.2
cg15874629	MAOB	MAOB
cg15888279	NR0B1	NR0B1
cg15906052	MAP3K15	MAP3K15
cg15907464	INGX	INGX
cg15907464	INGX	TAF1
cg15919369	MAGT1	MAGT1
cg15922956	FUNDC2	F8
cg15922956	FUNDC2	FUNDC2
cg16078210	MAGT1	MAGT1
cg16097380	LOC100303728	SLC25A5
cg16097380	LOC100303728	SLC25A5-AS1
cg16108684	DCAF12L2	DCAF12L2
cg16161440	UBQLN2	UBQLN2
cg16250105	WDR45	WDR45
cg16315447	RBM3	RBM3
cg16315447	RBM3	RP11-1148L6.9
cg16318983	MTM1	MTM1
cg16412513	GNL3L	GNL3L
cg16414561	ARX	ARX
cg16501779	TMEM185A	TMEM185A
cg16507965	ARX	ARX
cg16641060	NKRF	NKRF
cg16679837	AR	AL049564.1
cg16679837	AR	AR
cg16697940	LDOC1	LDOC1
cg16710313	NCRNA00086	LINC00086
cg16718054	MTMR8	MTMR8
cg16756025	ZNF275	ZNF275
cg16778620	XIAP	XIAP
cg16796150	RPS6KA3	RPS6KA3
cg16807457	CCDC160	CCDC160
cg16822572	PIM2	PIM2
cg16857716	CXorf26	PBDC1
cg16917996	NRK	NRK
cg16940942	FAM50A	FAM50A
cg16984885	RPL39	RPL39
cg17033281	XIAP	XIAP
cg17036062	ARX	ARX
cg17058724	FAM127A	FAM127A
cg17125742	MAP3K7IP3	TAB3
cg17152375	HDAC6	HDAC6
cg17223593	GPC4	GPC4
cg17363084	LOC100303728	SLC25A5
cg17363084	LOC100303728	SLC25A5-AS1
cg17376045	GNL3L	GNL3L
cg17386265	FGF13	FGF13
cg17386265	FGF13	FGF13-AS1
cg17404000	SLC9A7	SLC9A7
cg17547524	DOCK11	DOCK11
cg17558827	FAM127A	FAM127A
cg17592148	RNF128	RNF128
cg17602500	IL1RAPL2	IL1RAPL2
cg17639056	SLC9A7	SLC9A7
cg17658468	DYNLT3	DYNLT3
cg17658468	DYNLT3	RP5-972B16.2
cg17703220	XIAP	XIAP
cg17710066	SCML2	SCML2
cg17727916	SCML2	SCML2
cg17788031	MAOA	MAOA
cg17794813	RPS6KA3	RPS6KA3
cg17814335	KIAA2022	KIAA2022
cg17818432	FAM127C	FAM127C
cg17824401	STARD8	STARD8
cg17847781	IGBP1	IGBP1
cg17849117	HUWE1	HUWE1
cg17865482	POLA1	POLA1
cg17917970	DUSP9	DUSP9
cg18000886	ARX	ARX
cg18009325	TIMP1	SYN1
cg18009325	TIMP1	TIMP1
cg18031773	ZNF81	AL022578.1
cg18031773	ZNF81	ZNF81
cg18102233	ARX	ARX
cg18102950	THOC2	THOC2
cg18124907	MAGEH1	MAGEH1
cg18132745	MOSPD2	FANCB
cg18132745	MOSPD2	MOSPD2
cg18274682	ATP6AP2	ATP6AP2
cg18395382	PLXNA3	PLXNA3
cg18426655	MOSPD2	FANCB
cg18426655	MOSPD2	MOSPD2
cg18515307	DLG3	DLG3
cg18581963	SOX3	SOX3
cg18689730	PGRMC1	PGRMC1
cg18748981	GABRE	GABRE
cg18769303	GABRQ	GABRQ
cg18796341	GDI1	GDI1
cg18817143	MAP3K15	MAP3K15
cg18818432	GLA	GLA
cg18818432	GLA	HNRNPH2
cg18818432	GLA	RPL36A-HNRNPH2
cg18828303	MBTPS2	MBTPS2
cg18833705	NCRNA00087	LINC00087
cg18833705	NCRNA00087	RP11-85L21.4
cg18878700	MBNL3	MBNL3
cg18885073	PGRMC1	PGRMC1
cg18904224	ESX1	ESX1
cg18932686	LAGE3	LAGE3
cg18960294	FAM127C	FAM127C
cg18989057	HDAC6	HDAC6
cg18989810	DUSP9	DUSP9
cg19038081	MAP3K7IP3	TAB3
cg19056391	EFNB1	EFNB1
cg19162841	DGKK	DGKK
cg19168249	ATP6AP1	ATP6AP1
cg19168249	ATP6AP1	CH17-340M24.3
cg19238394	WDR45	WDR45
cg19398192	CXorf57	CXorf57
cg19415116	DDX26B	DDX26B
cg19415116	DDX26B	DDX26B-AS1
cg19415339	HUWE1	HUWE1
cg19506937	APEX2	APEX2
cg19525496	NCRNA00086	LINC00086
cg19549023	MCF2	MCF2
cg19572135	APOO	APOO
cg19572135	APOO	CXorf58
cg19579913	FAM127A	FAM127A
cg19580826	ZNF81	AL022578.1
cg19580826	ZNF81	ZNF81
cg19585278	GLRA4	GLRA4
cg19603571	ESX1	ESX1
cg19605909	YIPF6	YIPF6
cg19784262	AVPR2	AVPR2
cg19784262	AVPR2	L1CAM
cg19791442	GNL3L	GNL3L
cg19821612	PNMA3	PNMA3
cg19834421	SNX12	SNX12
cg19992190	MBTPS2	MBTPS2
cg20020143	SH3KBP1	SH3KBP1
cg20024850	MCF2	MCF2
cg20074774	TSPAN7	RP5-972B16.2
cg20074774	TSPAN7	TSPAN7
cg20121427	MAOA	MAOA
cg20135706	ZCCHC12	ZCCHC12
cg20208613	AMMECR1	AMMECR1
cg20214004	DCAF12L1	DCAF12L1
cg20279598	PDZD4	PDZD4
cg20281601	CDKL5	CDKL5
cg20312916	KLHL34	KLHL34
cg20372745	MAP3K7IP3	TAB3
cg20396841	RNF128	RNF128
cg20442640	DGKK	DGKK
cg20445038	VMA21	VMA21
cg20455959	MTMR1	MTMR1
cg20498086	FAM123B	AMER1
cg20503915	DUSP9	DUSP9
cg20746035	PRICKLE3	PRICKLE3
cg20773149	LOC729609	LOC729609
cg20793193	SYP	SYP
cg20793193	SYP	SYP-AS1
cg20880647	RNF128	RNF128
cg21040569	FGF13	FGF13
cg21040569	FGF13	FGF13-AS1
cg21179956	GPR101	GPR101
cg21202708	MTMR1	MTMR1
cg21331812	BEX1	BEX1
cg21341170	TMEM47	TMEM47
cg21473514	CXorf39	CXorf39
cg21484182	DCAF12L2	DCAF12L2
cg21544051	EFNB1	EFNB1
cg21557668	NHSL2	NHSL2
cg21635596	LOC100303728	SLC25A5
cg21635596	LOC100303728	SLC25A5-AS1
cg21762935	IL1RAPL2	IL1RAPL2
cg21776057	NKAP	NKAP
cg21785054	PRAF2	AF196779.12
cg21785054	PRAF2	PRAF2
cg21864225	GABRQ	GABRQ
cg21864829	EMD	EMD
cg21939789	TMEM185A	TMEM185A
cg21945665	XIAP	XIAP
cg21966453	CETN2	CETN2
cg21966453	CETN2	NSDHL
cg22067189	PPP1R2P9	PPP1R2P9
cg22164912	GNL3L	GNL3L
cg22191603	HMGB3	HMGB3
cg22275278	EMD	EMD
cg22332884	GPKOW	GPKOW
cg22366618	MAOA	MAOA
cg22417589	SMS	SMS
cg22575892	DOCK11	DOCK11
cg22625568	FMR1	FMR1
cg22625568	FMR1	FMR1-AS1
cg22625568	FMR1	FMR1-AS1_2
cg22672606	FRMPD4	FRMPD4
cg22682567	RPL36A	BTK
cg22682567	RPL36A	RPL36A
cg22682567	RPL36A	RPL36A-HNRNPH2
cg22776211	FAM155B	FAM155B
cg22817042	IL13RA1	IL13RA1
cg22823009	TSC22D3	TSC22D3
cg22823767	SCML2	SCML2
cg22951728	GDI1	GDI1
cg23154024	SPIN3	SPIN3
cg23214992	VBP1	VBP1
cg23238851	TMEM47	TMEM47
cg23251359	DGKK	DGKK
cg23299576	TMEM185A	TMEM185A
cg23323745	ZNF81	AL022578.1
cg23323745	ZNF81	ZNF81
cg23408987	RPL10	RPL10
cg23408987	RPL10	XX-FW83563B9.5
cg23443158	EMD	EMD
cg23455407	SNX12	SNX12
cg23475462	MAGT1	MAGT1
cg23483095	NAP1L2	NAP1L2
cg23484208	MSL3	MSL3
cg23612178	TSPYL2	TSPYL2
cg23628411	TMSB15B	TMSB15B
cg23660678	TSC22D3	TSC22D3
cg23685102	BEX1	BEX1
cg23690264	SLITRK4	SLITRK4
cg23860088	ZMAT1	ZMAT1
cg23892645	PGRMC1	PGRMC1
cg23896353	MTM1	MTM1
cg23934598	BCORL1	BCORL1
cg23936476	BEX1	BEX1
cg23954206	SPACA5	SPACA5
cg23990273	GABRQ	GABRQ
cg24035229	BCORL1	BCORL1
cg24138084	MOSPD1	MOSPD1
cg24142775	TSC22D3	TSC22D3
cg24152857	SLC38A5	SLC38A5
cg24264679	DLG3	DLG3
cg24264679	DLG3	DLG3-AS1
cg24328927	PNMA3	PNMA3
cg24347720	MAP7D3	MAP7D3
cg24401557	FGF13	FGF13
cg24401557	FGF13	FGF13-AS1
cg24597825	WDR44	WDR44
cg24657313	PGK1	PGK1
cg24663206	DLG3	DLG3
cg24740922	CETN2	CETN2
cg24741068	RBM3	RBM3
cg24741068	RBM3	RP11-1148L6.9
cg24748621	WDR45	WDR45
cg24754154	IRS4	IRS4
cg24754154	IRS4	RP6-24A23.3
cg24783624	ZBTB33	ZBTB33
cg24826812	DDX26B	DDX26B
cg24826812	DDX26B	DDX26B-AS1
cg24863802	CETN2	CETN2
cg24863802	CETN2	NSDHL
cg24884420	XKRX	XKRX
cg24925526	ARAF	ARAF
cg24971873	KIAA2022	KIAA2022
cg25051948	TBC1D25	TBC1D25
cg25085925	AR	AL049564.1
cg25085925	AR	AR
cg25122000	PNCK	PNCK
cg25124605	BCORL1	BCORL1
cg25166062	WDR45	WDR45
cg25205946	WDR45	WDR45
cg25206026	MOSPD1	MOSPD1
cg25225807	ARHGEF9	ARHGEF9
cg25237542	SLITRK4	SLITRK4
cg25321762	LOC401588	ZNF674
cg25321762	LOC401588	ZNF674-AS1
cg25364049	APLN	APLN
cg25424856	SHROOM4	SHROOM4
cg25528264	IGBP1	IGBP1
cg25528646	GABRE	GABRE
cg25530944	LOC286467	FIRRE
cg25548414	FLJ30058	ARHGAP36
cg25548414	FLJ30058	LINC01201
cg25553924	ZNF280C	ZNF280C
cg25558406	HPRT1	HPRT1
cg25565608	ZNF630	ZNF630
cg25656978	RBM3	RBM3
cg25656978	RBM3	RP11-1148L6.9
cg25698940	CUL4B	CUL4B
cg25714218	HMGB3	HMGB3
cg25790081	YIPF6	YIPF6
cg25888700	KLHL34	KLHL34
cg25896901	DCAF12L2	DCAF12L2
cg25941716	SH3KBP1	SH3KBP1
cg25967516	ARMCX1	ARMCX1
cg26020914	CDKL5	CDKL5
cg26023405	DOCK11	DOCK11
cg26116400	FUNDC2	F8
cg26116400	FUNDC2	FUNDC2
cg26146690	PLXNA3	PLXNA3
cg26157279	RPS6KA6	RPS6KA6
cg26159385	DUSP9	DUSP9
cg26246138	SCML2	SCML2
cg26308359	VMA21	VMA21
cg26327984	PPP1R2P9	PPP1R2P9
cg26351479	DCAF12L1	DCAF12L1
cg26359958	MBNL3	MBNL3
cg26369916	SOX3	SOX3
cg26381742	TFE3	TFE3
cg26383972	HTR2C	HTR2C
cg26428339	FAM120C	FAM120C
