"gene_id","gene_name","length"
"ENSG00000049247.9","UTS2",1783
"ENSG00000049249.4","TNFRSF9",2284
"ENSG00000116288.8","PARK7",2397
"ENSG00000116285.8","ERRFI1",4186
"ENSG00000162426.10","SLC45A1",2888
"ENSG00000142599.13","RERE",11503
"ENSG00000074800.9","ENO1",3958
"ENSG00000131686.10","CA6",2662
"ENSG00000197241.3","SLC2A7",1539
"ENSG00000142583.13","SLC2A5",6854
"ENSG00000180758.10","GPR157",5372
"ENSG00000049239.8","H6PD",9321
"ENSG00000171621.9","SPSB1",3403
"ENSG00000171612.6","SLC25A33",3854
"ENSG00000188807.8","TMEM201",7018
"ENSG00000171608.11","PIK3CD",6593
"ENSG00000179840.5","C1orf200",1823
"ENSG00000171603.12","CLSTN1",5559
"ENSG00000178585.10","CTNNBIP1",3343
"ENSG00000162441.7","LZIC",2792
"ENSG00000173614.9","NMNAT1",4610
"ENSG00000162444.11","RBP7",861
"ENSG00000130939.14","UBE4B",9140
"ENSG00000054523.12","KIF1B",17693
"ENSG00000142657.16","PGD",3171
"ENSG00000175279.17","APITD1",2857
"ENSG00000251503.3","APITD1-CORT",1790
"ENSG00000241563.2","CORT",1130
"ENSG00000160049.7","DFFA",6622
"ENSG00000142655.8","PEX14",2995
"ENSG00000130940.10","CASZ1",11336
"ENSG00000175262.10","C1orf127",3573
"ENSG00000120948.11","TARDBP",4622
"ENSG00000009724.12","MASP2",4251
"ENSG00000116649.5","SRM",1898
"ENSG00000171824.9","EXOSC10",6003
"ENSG00000198793.8","MTOR",12119
"ENSG00000171819.4","ANGPTL7",2238
"ENSG00000120942.9","UBIAD1",5082
"ENSG00000204624.6","PTCHD2",6146
"ENSG00000116661.9","FBXO2",2333
"ENSG00000132879.9","FBXO44",3527
"ENSG00000116663.6","FBXO6",1811
"ENSG00000116670.10","MAD2L2",3324
"ENSG00000162490.6","DRAXIN",7346
"ENSG00000177674.11","AGTRAP",2433
"ENSG00000215910.3","C1orf167",6505
"ENSG00000177000.6","MTHFR",10214
"ENSG00000011021.17","CLCN6",6884
"ENSG00000175206.6","NPPA",1120
"ENSG00000120937.8","NPPB",694
"ENSG00000116685.11","KIAA2013",3281
"ENSG00000083444.12","PLOD1",5320
"ENSG00000116688.12","MFN2",4973
"ENSG00000116691.6","MIIP",2821
"ENSG00000120949.10","TNFRSF8",3738
"ENSG00000028137.12","TNFRSF1B",3766
"ENSG00000048707.9","VPS13D",20346
"ENSG00000162496.4","DHRS3",3037
"ENSG00000204518.2","AADACL4",1575
"ENSG00000188984.7","AADACL3",4049
"ENSG00000157330.5","C1orf158",4333
"ENSG00000116726.4","PRAMEF12",1786
"ENSG00000116721.9","PRAMEF1",2439
"ENSG00000204513.5","PRAMEF11",1839
"ENSG00000179172.7","HNRNPCL1",1108
"ENSG00000120952.4","PRAMEF2",1642
"ENSG00000243073.3","PRAMEF4",1828
"ENSG00000187545.5","PRAMEF10",1525
"ENSG00000204510.1","PRAMEF7",1844
"ENSG00000232423.3","PRAMEF6",3838
"ENSG00000204508.3","PRAMEF22",1446
"ENSG00000239810.2","WI2-3308P17.2",605
"ENSG00000229571.2","PRAMEF26",1476
"ENSG00000204503.5","PRAMEF3",2104
"ENSG00000204502.2","PRAMEF5",1855
"ENSG00000182330.6","PRAMEF8",1844
"ENSG00000204501.2","PRAMEF9",1863
"ENSG00000204495.3","PRAMEF13",2164
"ENSG00000204491.2","PRAMEF18",1440
"ENSG00000204488.3","PRAMEF16",1587
"ENSG00000204486.3","PRAMEF21",1597
"ENSG00000157358.7","PRAMEF15",1863
"ENSG00000204481.6","PRAMEF14",2523
"ENSG00000204480.6","PRAMEF19",2123
"ENSG00000204479.4","PRAMEF17",1578
"ENSG00000204478.5","PRAMEF20",1597
"ENSG00000162494.5","LRRC38",2209
"ENSG00000162493.12","PDPN",3707
"ENSG00000116731.18","PRDM2",10923
"ENSG00000189337.11","KAZN",12644
"ENSG00000171729.9","TMEM51",2240
"ENSG00000204464.3","C1orf195",559
"ENSG00000142621.15","FHAD1",12805
"ENSG00000142634.8","EFHD2",2531
"ENSG00000162438.7","CTRC",3486
"ENSG00000142615.7","CELA2A",1519
"ENSG00000215704.5","CELA2B",1457
"ENSG00000132906.13","CASP9",5269
"ENSG00000116138.8","DNAJC16",8563
"ENSG00000116771.5","AGMAT",2500
"ENSG00000197312.7","DDI2",12136
"ENSG00000215695.1","RSC1A1",1854
"ENSG00000116786.7","PLEKHM2",4122
"ENSG00000162461.7","SLC25A34",3195
"ENSG00000162460.6","TMEM82",1520
"ENSG00000162458.8","FBLIM1",4716
"ENSG00000065526.6","SPEN",13294
"ENSG00000116809.7","ZBTB17",4240
"ENSG00000183888.4","C1orf64",3039
"ENSG00000173641.13","HSPB7",3910
"ENSG00000186510.7","CLCNKA",3476
"ENSG00000184908.13","CLCNKB",2898
"ENSG00000185519.8","FAM131C",1701
"ENSG00000142627.9","EPHA2",4159
"ENSG00000142632.12","ARHGEF19",3745
"ENSG00000204377.3","C1orf134",252
"ENSG00000132881.7","RSG1",1545
"ENSG00000037637.6","FBXO42",8984
"ENSG00000055070.12","SZRD1",4747
"ENSG00000187144.7","SPATA21",4506
"ENSG00000157191.15","NECAP2",5559
"ENSG00000268674.1","AL355149.2",510
"ENSG00000219481.6","NBPF1",12212
"ENSG00000237847.2","AL137798.1",510
"ENSG00000268991.1","AL021920.2",510
"ENSG00000058453.12","CROCC",8871
"ENSG00000117122.9","MFAP2",2915
"ENSG00000159363.13","ATP13A2",5253
"ENSG00000117118.5","SDHB",2462
"ENSG00000117115.8","PADI2",6002
"ENSG00000142623.8","PADI1",5061
"ENSG00000142619.4","PADI3",3189
"ENSG00000159339.9","PADI4",2971
"ENSG00000269468.1","AC004824.2",339
"ENSG00000179051.9","RCC2",4126
"ENSG00000074964.12","ARHGEF10L",7847
"ENSG00000117148.6","ACTL8",1861
"ENSG00000117154.7","IGSF21",3085
"ENSG00000179023.7","KLHDC7A",5055
"ENSG00000009709.7","PAX7",6313
"ENSG00000179002.5","TAS1R2",2542
"ENSG00000255275.3","RP13-279N23.2",4369
"ENSG00000159423.12","ALDH4A1",3687
"ENSG00000169991.6","IFFO2",6188
"ENSG00000127481.10","UBR4",24695
"ENSG00000127463.9","EMC1",10650
"ENSG00000053372.4","MRTO4",2822
"ENSG00000162482.4","AKR7A3",1710
"ENSG00000053371.8","AKR7A2",1781
"ENSG00000040487.8","PQLC2",2686
"ENSG00000077549.13","CAPZB",3476
"ENSG00000270136.1","MINOS1-NBL1",2493
"ENSG00000173436.9","MINOS1",5220
"ENSG00000158747.9","NBL1",3461
"ENSG00000158748.3","HTR6",1984
"ENSG00000162542.9","TMCO4",4054
"ENSG00000178828.5","RNF186",1249
"ENSG00000169914.5","OTUD3",6767
"ENSG00000188784.4","PLA2G2E",785
"ENSG00000188257.6","PLA2G2A",1654
"ENSG00000127472.6","PLA2G5",2607
"ENSG00000117215.10","PLA2G2D",2672
"ENSG00000158786.4","PLA2G2F",6440
"ENSG00000187980.6","PLA2G2C",3298
"ENSG00000162543.5","UBXN10",5571
"ENSG00000158816.11","VWA5B1",6377
"ENSG00000162545.5","CAMK2N1",2615
"ENSG00000090432.5","MUL1",2436
"ENSG00000183114.6","FAM43B",2581
"ENSG00000158825.5","CDA",963
"ENSG00000158828.5","PINK1",4836
"ENSG00000244038.5","DDOST",2674
"ENSG00000117245.8","KIF17",4470
"ENSG00000189410.7","SH2D5",4423
"ENSG00000127483.13","HP1BP3",7442
"ENSG00000075151.15","EIF4G3",8353
"ENSG00000117298.10","ECE1",7265
"ENSG00000142794.14","NBPF3",6812
"ENSG00000162551.9","ALPL",3014
"ENSG00000076864.15","RAP1GAP",5650
"ENSG00000090686.11","USP48",9497
"ENSG00000187942.7","LDLRAD2",4490
"ENSG00000142798.12","HSPG2",17694
"ENSG00000219073.3","CELA3B",1541
"ENSG00000142789.15","CELA3A",1224
"ENSG00000070831.11","CDC42",3470
"ENSG00000162552.10","WNT4",4527
"ENSG00000184677.12","ZBTB40",8992
"ENSG00000070886.6","EPHA8",5358
"ENSG00000173372.12","C1QA",1272
"ENSG00000159189.7","C1QC",1335
"ENSG00000173369.11","C1QB",1601
"ENSG00000133216.12","EPHB2",6341
"ENSG00000215906.4","LACTBL1",1641
"ENSG00000227868.2","C1orf234",609
"ENSG00000004487.11","KDM1A",5447
"ENSG00000169641.9","LUZP1",9739
"ENSG00000179546.3","HTR1D",2849
"ENSG00000125944.14","HNRNPR",8676
"ENSG00000125945.10","ZNF436",4392
"ENSG00000249087.3","C1orf213",2655
"ENSG00000204219.5","TCEA3",3515
"ENSG00000088280.14","ASAP3",4988
"ENSG00000007968.6","E2F2",5457
"ENSG00000117318.8","ID3",1797
"ENSG00000197880.4","MDS2",2142
"ENSG00000142676.8","RPL11",1987
"ENSG00000011007.8","TCEB3",5391
"ENSG00000057757.5","PITHD1",2186
"ENSG00000011009.6","LYPLA2",2196
"ENSG00000117308.10","GALE",3955
"ENSG00000117305.10","HMGCL",5658
"ENSG00000179163.11","FUCA1",2047
"ENSG00000188822.6","CNR2",5468
"ENSG00000189266.7","PNRC2",2564
"ENSG00000188529.10","SRSF10",10277
"ENSG00000142661.14","MYOM3",9371
"ENSG00000142677.3","IL22RA1",2798
"ENSG00000185436.7","IFNLR1",4923
"ENSG00000158055.11","GRHL3",3940
"ENSG00000001460.13","STPG1",8514
"ENSG00000001461.12","NIPAL3",9404
"ENSG00000117602.7","RCAN3",6964
"ENSG00000184454.6","NCMAP",4122
"ENSG00000133226.12","SRRM1",8168
"ENSG00000169504.10","CLIC4",4495
"ENSG00000020633.14","RUNX3",4605
"ENSG00000117614.5","SYF2",3370
"ENSG00000117616.13","C1orf63",6804
"ENSG00000187010.14","RHD",3313
"ENSG00000183726.6","TMEM50A",3410
"ENSG00000188672.12","RHCE",2433
"ENSG00000204178.5","TMEM57",3940
"ENSG00000157978.7","LDLRAP1",5397
"ENSG00000117643.10","MAN1C1",9014
"ENSG00000162430.12","SEPN1",4421
"ENSG00000255054.3","RP1-317E23.6",792
"ENSG00000117640.13","MTFR1L",5816
"ENSG00000223474.2","AL020996.1",2077
"ENSG00000127423.6","AUNIP",2352
"ENSG00000182749.5","PAQR7",3297
"ENSG00000117632.16","STMN1",6261
"ENSG00000158006.9","PAFAH2",3835
"ENSG00000158008.5","EXTL1",4537
"ENSG00000158014.10","SLC30A2",3498
"ENSG00000158022.6","TRIM63",2573
"ENSG00000175087.5","PDIK1L",4527
"ENSG00000197245.4","FAM110D",1524
"ENSG00000142684.7","ZNF593",1956
"ENSG00000142675.13","CNKSR1",4043
"ENSG00000188782.3","CATSPER4",2030
"ENSG00000130695.9","CEP85",5145
"ENSG00000142669.9","SH3BGRL3",1780
"ENSG00000158062.16","UBXN11",4704
"ENSG00000169442.4","CD52",935
"ENSG00000176092.9","AIM1L",5135
"ENSG00000176083.13","ZNF683",2379
"ENSG00000131914.6","LIN28A",4008
"ENSG00000117682.12","DHDDS",5596
"ENSG00000198830.6","HMGN2",2509
"ENSG00000117676.9","RPS6KA1",5884
"ENSG00000117713.13","ARID1A",9246
"ENSG00000060642.6","PIGV",3382
"ENSG00000204160.7","ZDHHC18",5436
"ENSG00000175793.10","SFN",1315
"ENSG00000142751.10","GPN2",4979
"ENSG00000198746.8","GPATCH3",2225
"ENSG00000090273.9","NUDC",2856
"ENSG00000131910.4","NR0B2",1156
"ENSG00000175707.7","C1orf172",1793
"ENSG00000253368.3","TRNP1",1976
"ENSG00000158246.7","FAM46B",2368
"ENSG00000090020.6","SLC9A1",5974
"ENSG00000142784.11","WDTC1",6010
"ENSG00000186501.10","TMEM222",4461
"ENSG00000142765.13","SYTL1",5575
"ENSG00000142733.10","MAP3K6",4951
"ENSG00000142748.8","FCN3",2167
"ENSG00000174950.6","CD164L2",2041
"ENSG00000181773.6","GPR3",2115
"ENSG00000158195.6","WASF2",5666
"ENSG00000126705.9","AHDC1",7157
"ENSG00000000938.8","FGR",3474
"ENSG00000126709.10","IFI6",865
"ENSG00000009780.11","FAM76A",4034
"ENSG00000117758.9","STX12",3846
"ENSG00000117751.13","PPP1R8",2819
"ENSG00000268552.1","AL109927.1",171
"ENSG00000130775.11","THEMIS2",4620
"ENSG00000117748.5","RPA2",2019
"ENSG00000130768.10","SMPDL3B",2670
"ENSG00000158156.7","XKR8",2743
"ENSG00000158161.11","EYA3",6483
"ENSG00000169403.7","PTAFR",4706
"ENSG00000126698.6","DNAJC8",2609
"ENSG00000215902.1","AL353354.1",66
"ENSG00000269804.1","AL353354.2",350
"ENSG00000130770.13","ATPIF1",2225
"ENSG00000130766.4","SESN2",3453
"ENSG00000130772.9","MED18",2017
"ENSG00000204138.8","PHACTR4",7165
"ENSG00000180198.11","RCC1",3888
"ENSG00000180098.5","TRNAU1AP",4305
"ENSG00000120656.7","TAF12",2337
"ENSG00000188060.6","RAB42",2180
"ENSG00000162419.8","GMEB1",6459
"ENSG00000198492.10","YTHDF2",3859
"ENSG00000116329.6","OPRD1",1774
"ENSG00000159023.14","EPB41",8282
"ENSG00000253304.1","TMEM200B",2639
"ENSG00000116350.11","SRSF4",3211
"ENSG00000116353.11","MECR",3922
"ENSG00000060656.15","PTPRU",6700
"ENSG00000162510.5","MATN1",4606
"ENSG00000162511.7","LAPTM5",3274
"ENSG00000162512.11","SDC3",7067
"ENSG00000134644.11","PUM1",6621
"ENSG00000084628.5","NKAIN1",2987
"ENSG00000060688.8","SNRNP40",4011
"ENSG00000121766.10","ZCCHC17",1891
"ENSG00000121769.3","FABP3",1026
"ENSG00000168528.7","SERINC2",3520
"ENSG00000268950.1","AC114494.1",423
"ENSG00000142910.11","TINAGL1",5925
"ENSG00000121764.7","HCRTR1",2506
"ENSG00000162517.8","PEF1",2775
"ENSG00000084636.13","COL16A1",9365
"ENSG00000121753.8","BAI2",7761
"ENSG00000134668.8","SPOCD1",7085
"ENSG00000184007.13","PTP4A2",6431
"ENSG00000212673.1","AL136115.1",1572
"ENSG00000121774.13","KHDRBS1",3588
"ENSG00000121775.13","TMEM39B",3464
"ENSG00000025800.9","KPNA6",7687
"ENSG00000084652.11","TXLNA",5103
"ENSG00000160050.10","CCDC28B",2818
"ENSG00000160051.7","IQCC",2293
"ENSG00000222046.2","DCDC2B",1869
"ENSG00000160055.15","TMEM234",3583
"ENSG00000084623.7","EIF3I",1725
"ENSG00000183615.5","FAM167B",936
"ENSG00000182866.12","LCK",3337
"ENSG00000116478.7","HDAC1",4009
"ENSG00000175130.6","MARCKSL1",1699
"ENSG00000162526.6","TSSK3",2191
"ENSG00000225828.1","FAM229A",2845
"ENSG00000160058.14","BSDC1",6275
"ENSG00000254553.1","RP1-27O5.3",3447
"ENSG00000273274.1","ZBTB8B",12834
"ENSG00000160062.10","ZBTB8A",7075
"ENSG00000176261.11","ZBTB8OS",3531
"ENSG00000162521.14","RBBP4",9470
"ENSG00000162520.10","SYNC",3941
"ENSG00000162522.6","KIAA1522",5965
"ENSG00000134684.6","YARS",8210
"ENSG00000116497.13","S100PBP",9190
"ENSG00000160097.11","FNDC5",3139
"ENSG00000121905.5","HPCA",1991
"ENSG00000121900.14","TMEM54",1417
"ENSG00000116514.12","RNF19B",2610
"ENSG00000267885.1","FKSG48",375
"ENSG00000004455.12","AK2",5683
"ENSG00000142920.12","ADC",6559
"ENSG00000116525.9","TRIM62",3646
"ENSG00000160094.10","ZNF362",3331
"ENSG00000184389.8","A3GALT2",1055
"ENSG00000134686.12","PHC2",5410
"ENSG00000121903.10","ZSCAN20",5308
"ENSG00000121904.13","CSMD2",18147
"ENSG00000176256.6","HMGB4",2561
"ENSG00000142698.10","C1orf94",2576
"ENSG00000163866.8","SMIM12",8091
"ENSG00000189280.3","GJB5",1355
"ENSG00000189433.5","GJB4",2840
"ENSG00000188910.7","GJB3",2387
"ENSG00000187513.8","GJA4",1717
"ENSG00000116544.7","DLGAP3",3977
"ENSG00000271741.1","ZMYM6",3099
"ENSG00000243749.1","ZMYM6NB",922
"ENSG00000163867.12","ZMYM6",9617
"ENSG00000197056.5","ZMYM1",4828
"ENSG00000116560.6","SFPQ",7426
"ENSG00000146463.7","ZMYM4",7647
"ENSG00000142687.13","KIAA0319L",9629
"ENSG00000020129.11","NCDN",4917
"ENSG00000116819.6","TFAP2E",2189
"ENSG00000126067.7","PSMB2",2701
"ENSG00000142686.7","C1orf216",3629
"ENSG00000092853.9","CLSPN",5411
"ENSG00000134698.10","AGO4",7267
"ENSG00000092847.6","AGO1",12886
"ENSG00000126070.14","AGO3",21248
"ENSG00000092850.7","TEKT2",1978
"ENSG00000116863.10","ADPRHL2",1668
"ENSG00000171812.6","COL8A2",4670
"ENSG00000054116.7","TRAPPC3",3313
"ENSG00000116871.11","MAP7D1",5271
"ENSG00000054118.9","THRAP3",4736
"ENSG00000214193.5","SH3D21",4474
"ENSG00000142694.6","EVA1B",1211
"ENSG00000116883.8","RP11-268J15.5",1838
"ENSG00000196182.6","STK40",5590
"ENSG00000181817.5","LSM10",1496
"ENSG00000116885.14","OSCP1",2822
"ENSG00000116898.7","MRPS15",2916
"ENSG00000119535.13","CSF3R",8426
"ENSG00000163873.5","GRIK3",10111
"ENSG00000163874.8","ZC3H12A",3117
"ENSG00000163875.11","MEAF6",3487
"ENSG00000163877.9","SNIP1",4888
"ENSG00000163879.9","DNALI1",4456
"ENSG00000134697.8","GNL2",5745
"ENSG00000169218.9","RSPO1",3160
"ENSG00000116922.10","C1orf109",4423
"ENSG00000134690.6","CDCA8",2469
"ENSG00000183317.12","EPHA10",8151
"ENSG00000185090.10","MANEAL",3018
"ENSG00000196449.3","YRDC",1826
"ENSG00000197982.12","C1orf122",2231
"ENSG00000188786.9","MTF1",8024
"ENSG00000230610.1","AL929472.1",45
"ENSG00000204084.8","INPP5B",9099
"ENSG00000183431.7","SF3A3",4740
"ENSG00000183386.5","FHL3",2004
"ENSG00000183520.7","UTP11L",3385
"ENSG00000185668.5","POU3F1",2928
"ENSG00000116954.7","RRAGC",5167
"ENSG00000214114.4","MYCBP",5313
"ENSG00000131233.8","GJA9",3250
"ENSG00000158315.6","RHBDL2",2914
"ENSG00000174574.11","AKIRIN1",2741
"ENSG00000168653.6","NDUFS5",548
"ENSG00000127603.19","MACF1",36470
"ENSG00000255103.1","KIAA0754",6004
"ENSG00000183682.7","BMP8A",1692
"ENSG00000090621.9","PABPC4",6782
"ENSG00000163909.6","HEYL",3750
"ENSG00000116981.3","NT5C1A",1107
"ENSG00000116983.8","HPCAL4",4856
"ENSG00000084072.12","PPIE",8071
"ENSG00000116985.6","BMP8B",5143
"ENSG00000198754.5","OXCT2",1826
"ENSG00000043514.11","TRIT1",3054
"ENSG00000116990.9","MYCL",5065
"ENSG00000168389.13","MFSD2A",3987
"ENSG00000131236.12","CAP1",3814
"ENSG00000131238.12","PPT1",3304
"ENSG00000117000.8","RLF",6246
"ENSG00000188800.5","TMCO2",889
"ENSG00000084073.4","ZMPSTE24",3572
"ENSG00000049089.9","COL9A2",4151
"ENSG00000084070.7","SMAP2",3436
"ENSG00000187801.10","ZFP69B",2386
"ENSG00000187815.5","ZFP69",3248
"ENSG00000164002.7","EXO5",3092
"ENSG00000117010.11","ZNF684",3039
"ENSG00000117016.5","RIMS3",7235
"ENSG00000066136.15","NFYC",5990
"ENSG00000117013.10","KCNQ4",4183
"ENSG00000179862.5","CITED4",1290
"ENSG00000171793.9","CTPS1",5749
"ENSG00000171790.11","SLFNL1",4310
"ENSG00000010803.12","SCMH1",4447
"ENSG00000204060.4","FOXO6",2398
"ENSG00000127129.5","EDN2",1639
"ENSG00000127124.9","HIVEP3",14224
"ENSG00000044012.3","GUCA2B",597
"ENSG00000197273.3","GUCA2A",569
"ENSG00000198815.4","FOXJ3",6893
"ENSG00000177181.10","RIMKLA",8981
"ENSG00000066185.8","ZMYND12",2195
"ENSG00000127125.7","PPCS",2628
"ENSG00000186409.10","CCDC30",13539
"ENSG00000171960.6","PPIH",2212
"ENSG00000065978.13","YBX1",1930
"ENSG00000164007.6","CLDN19",3602
"ENSG00000117385.11","LEPRE1",6766
"ENSG00000164008.9","C1orf50",2786
"ENSG00000177868.7","CCDC23",1239
"ENSG00000164010.9","ERMAP",4631
"ENSG00000164011.13","ZNF691",2141
"ENSG00000117394.15","SLC2A1",4208
"ENSG00000186973.6","FAM183A",843
"ENSG00000117395.6","EBNA1BP2",3561
"ENSG00000243710.3","WDR65",5665
"ENSG00000179178.6","TMEM125",2127
"ENSG00000253313.1","C1orf210",1516
"ENSG00000066056.9","TIE1",6694
"ENSG00000117400.10","MPL",2128
"ENSG00000117399.9","CDC20",2038
"ENSG00000066322.8","ELOVL1",2458
"ENSG00000159479.12","MED8",2704
"ENSG00000198198.9","SZT2",17331
"ENSG00000178922.12","HYI",2590
"ENSG00000142949.12","PTPRF",10719
"ENSG00000066135.8","KDM4A",5172
"ENSG00000126091.15","ST3GAL3",4425
"ENSG00000117407.12","ARTN",2658
"ENSG00000117408.6","IPO13",5083
"ENSG00000132768.9","DPH2",2930
"ENSG00000117410.9","ATP6V0B",3535
"ENSG00000117411.12","B4GALT2",3778
"ENSG00000159214.8","CCDC24",3554
"ENSG00000196517.7","SLC6A9",5159
"ENSG00000171872.4","KLF17",3131
"ENSG00000178028.9","DMAP1",5599
"ENSG00000117419.10","ERI3",2644
"ENSG00000187147.13","RNF220",9779
"ENSG00000126106.9","TMEM53",3635
"ENSG00000198520.6","C1orf228",3166
"ENSG00000142945.8","KIF2C",3658
"ENSG00000142937.7","RPS8",2847
"ENSG00000142959.4","BEST4",2047
"ENSG00000173846.8","PLK3",3479
"ENSG00000188396.2","TCTEX1D4",1265
"ENSG00000222009.4","BTBD19",3520
"ENSG00000117425.9","PTCH2",5149
"ENSG00000070785.12","EIF2B3",3043
"ENSG00000126107.10","HECTD3",5077
"ENSG00000126088.8","UROD",2908
"ENSG00000162415.6","ZSWIM5",6046
"ENSG00000186603.4","HPDL",1803
"ENSG00000132781.13","MUTYH",3909
"ENSG00000132773.7","TOE1",2742
"ENSG00000070759.12","TESK2",3460
"ENSG00000236624.4","CCDC163P",2757
"ENSG00000132763.10","MMACHC",2981
"ENSG00000117450.9","PRDX1",1522
"ENSG00000117448.9","AKR1A1",3121
"ENSG00000132780.12","NASP",8293
"ENSG00000159588.10","CCDC17",3323
"ENSG00000159592.6","GPBP1L1",7433
"ENSG00000159596.6","TMEM69",2439
"ENSG00000197429.6","IPP",3705
"ENSG00000086015.16","MAST2",7877
"ENSG00000117461.10","PIK3R3",7676
"ENSG00000117472.5","TSPAN1",2366
"ENSG00000085998.9","POMGNT1",6366
"ENSG00000171357.5","LURAP1",1854
"ENSG00000085999.7","RAD54L",3212
"ENSG00000132128.12","LRRC41",7668
"ENSG00000173660.7","UQCRH",1408
"ENSG00000117481.6","NSUN4",8468
"ENSG00000117480.11","FAAH",2776
"ENSG00000197587.6","DMBX1",2896
"ENSG00000162456.5","KNCN",2810
"ENSG00000079277.15","MKNK1",8060
"ENSG00000142961.10","MOB3C",5916
