"length","gene_id","gene_name"
6855,"ENSG00000004468.11","CD38"
5180,"ENSG00000004478.7","FKBP4"
5435,"ENSG00000004487.14","KDM1A"
7302,"ENSG00000004534.13","RBM6"
7424,"ENSG00000004660.13","CAMKK1"
3778,"ENSG00000004700.14","RECQL"
9454,"ENSG00000004766.14","CCDC132"
1722,"ENSG00000004776.10","HSPB6"
5260,"ENSG00000004777.17","ARHGAP33"
1600,"ENSG00000004779.8","NDUFAB1"
4519,"ENSG00000004799.7","PDK4"
3907,"ENSG00000004809.12","SLC22A16"
4009,"ENSG00000004838.12","ZMYND10"
9257,"ENSG00000004846.15","ABCB5"
2876,"ENSG00000004848.6","ARX"
3710,"ENSG00000004864.12","SLC25A13"
6742,"ENSG00000004866.17","ST7"
6824,"ENSG00000004897.10","CDC27"
5287,"ENSG00000004939.12","SLC4A1"
4042,"ENSG00000004948.12","CALCR"
2335,"ENSG00000004961.13","HCCS"
5350,"ENSG00000004975.10","DVL2"
2387,"ENSG00000005001.8","PRSS22"
8600,"ENSG00000005007.11","UPF1"
5520,"ENSG00000005020.11","SKAP2"
1500,"ENSG00000005022.5","SLC25A5"
3566,"ENSG00000005059.14","CCDC109B"
2307,"ENSG00000005073.5","HOXA11"
1355,"ENSG00000005075.14","POLR2J"
5872,"ENSG00000005100.11","DHX33"
2707,"ENSG00000005102.11","MEOX1"
10929,"ENSG00000005108.14","THSD7A"
12919,"ENSG00000005156.10","LIG3"
5381,"ENSG00000005175.8","RPAP3"
7822,"ENSG00000005187.10","ACSM3"
4114,"ENSG00000005189.18","AC004381.6"
3509,"ENSG00000005194.13","CIAPIN1"
7130,"ENSG00000005206.15","SPPL2B"
6409,"ENSG00000005238.18","FAM214B"
1851,"ENSG00000005243.8","COPZ2"
4318,"ENSG00000005249.11","PRKAR2B"
6496,"ENSG00000005302.16","MSL3"
15068,"ENSG00000005339.11","CREBBP"
11354,"ENSG00000005379.14","BZRAP1"
3526,"ENSG00000005381.7","MPO"
2832,"ENSG00000005421.7","PON1"
5465,"ENSG00000005436.12","GCFC2"
2860,"ENSG00000005448.15","WDR54"
4979,"ENSG00000005469.10","CROT"
7494,"ENSG00000005471.14","ABCB4"
9233,"ENSG00000005483.18","KMT2E"
2441,"ENSG00000005486.15","RHBDD2"
4432,"ENSG00000005513.9","SOX8"
8722,"ENSG00000005700.13","IBTK"
5709,"ENSG00000005801.15","ZNF195"
15945,"ENSG00000005810.16","MYCBP2"
7082,"ENSG00000005812.9","FBXL3"
6472,"ENSG00000005844.16","ITGAL"
5481,"ENSG00000005882.10","PDK2"
9802,"ENSG00000005884.16","ITGA3"
9037,"ENSG00000005889.14","ZFX"
5526,"ENSG00000005893.14","LAMP2"
5551,"ENSG00000005961.16","ITGA2B"
4605,"ENSG00000005981.11","ASB4"
4416,"ENSG00000006007.10","GDE1"
3370,"ENSG00000006015.16","C19orf60"
3018,"ENSG00000006016.9","CRLF1"
6572,"ENSG00000006025.10","OSBPL7"
5187,"ENSG00000006042.10","TMEM98"
4618,"ENSG00000006047.11","YBX2"
1287,"ENSG00000006059.3","KRT33A"
5852,"ENSG00000006062.12","MAP3K14"
6778,"ENSG00000006071.10","ABCC8"
3088,"ENSG00000006116.3","CACNG3"
7271,"ENSG00000006118.13","TMEM132A"
7587,"ENSG00000006125.15","AP2B1"
1888,"ENSG00000006128.10","TAC1"
6945,"ENSG00000006194.9","ZNF263"
5983,"ENSG00000006210.6","CX3CL1"
5337,"ENSG00000006282.18","SPATA20"
9709,"ENSG00000006283.16","CACNA1G"
1848,"ENSG00000006327.12","TNFRSF12A"
3449,"ENSG00000006377.10","DLX6"
12386,"ENSG00000006432.14","MAP3K9"
3665,"ENSG00000006451.6","RALA"
4798,"ENSG00000006453.12","BAIAP2L1"
9430,"ENSG00000006459.9","KDM7A"
9616,"ENSG00000006468.12","ETV1"
6547,"ENSG00000006530.14","AGK"
6626,"ENSG00000006534.14","ALDH3B1"
6055,"ENSG00000006555.9","TTC22"
8646,"ENSG00000006576.15","PHTF2"
706,"ENSG00000006606.7","CCL26"
14413,"ENSG00000006607.12","FARP2"
4904,"ENSG00000006611.14","USH1C"
1597,"ENSG00000006625.16","GGCT"
4583,"ENSG00000006634.6","DBF4"
2793,"ENSG00000006638.10","TBXA2R"
7489,"ENSG00000006652.12","IFRD1"
1079,"ENSG00000006659.11","LGALS14"
3172,"ENSG00000006695.9","COX10"
6498,"ENSG00000006704.9","GTF2IRD1"
2668,"ENSG00000006712.13","PAF1"
7801,"ENSG00000006715.14","VPS41"
9281,"ENSG00000006740.15","ARHGAP44"
6345,"ENSG00000006744.17","ELAC2"
11623,"ENSG00000006747.13","SCIN"
7030,"ENSG00000006756.14","ARSD"
3441,"ENSG00000006757.10","PNPLA4"
6349,"ENSG00000006788.11","MYH13"
5878,"ENSG00000006831.9","ADIPOR2"
3057,"ENSG00000006837.10","CDKL3"
2957,"ENSG00000007001.11","UPP2"
1967,"ENSG00000007038.9","PRSS21"
6668,"ENSG00000007047.13","MARK4"
7434,"ENSG00000007062.10","PROM1"
1660,"ENSG00000007080.9","CCDC124"
1922,"ENSG00000007129.16","CEACAM21"
8127,"ENSG00000007168.11","PAFAH1B1"
4176,"ENSG00000007171.15","NOS2"
16980,"ENSG00000007174.16","DNAH9"
9235,"ENSG00000007202.13","KIAA0100"
3226,"ENSG00000007216.13","SLC13A2"
10100,"ENSG00000007237.17","GAS7"
933,"ENSG00000007255.9","TRAPPC6A"
4141,"ENSG00000007264.12","MATK"
2649,"ENSG00000007306.13","CEACAM7"
2080,"ENSG00000007312.11","CD79B"
8247,"ENSG00000007314.10","SCN4A"
8111,"ENSG00000007341.17","ST7L"
3650,"ENSG00000007350.15","TKTL1"
14782,"ENSG00000007372.19","PAX6"
2769,"ENSG00000007376.6","RPUSD1"
4914,"ENSG00000007384.14","RHBDF1"
6176,"ENSG00000007392.15","LUC7L"
6322,"ENSG00000007402.10","CACNA2D2"
6146,"ENSG00000007516.12","BAIAP3"
1243,"ENSG00000007520.3","TSR3"
6869,"ENSG00000007541.13","PIGQ"
8373,"ENSG00000007545.14","CRAMP1L"
3046,"ENSG00000007866.17","TEAD3"
4585,"ENSG00000007908.14","SELE"
5083,"ENSG00000007923.14","DNAJC11"
3463,"ENSG00000007933.11","FMO3"
3033,"ENSG00000007944.13","MYLIP"
2529,"ENSG00000007952.16","NOX1"
5457,"ENSG00000007968.6","E2F2"
2256,"ENSG00000008018.8","PSMB1"
3209,"ENSG00000008056.11","SYN1"
6015,"ENSG00000008083.12","JARID2"
15642,"ENSG00000008086.9","CDKL5"
2676,"ENSG00000008118.8","CAMK1G"
4701,"ENSG00000008128.21","CDK11A"
5570,"ENSG00000008130.14","NADK"
6149,"ENSG00000008196.11","TFAP2B"
1856,"ENSG00000008197.4","TFAP2D"
8338,"ENSG00000008226.18","DLEC1"
5808,"ENSG00000008256.14","CYTH3"
12199,"ENSG00000008277.13","ADAM22"
2794,"ENSG00000008282.6","SYPL1"
5320,"ENSG00000008283.14","CYB561"
11963,"ENSG00000008294.19","SPAG9"
13873,"ENSG00000008300.13","CELSR3"
4591,"ENSG00000008311.13","AASS"
4260,"ENSG00000008323.14","PLEKHG6"
1301,"ENSG00000008324.9","SS18L2"
2049,"ENSG00000008382.14","MPND"
7440,"ENSG00000008394.11","MGST1"
5062,"ENSG00000008405.10","CRY1"
720,"ENSG00000008438.4","PGLYRP1"
6302,"ENSG00000008441.15","NFIX"
8729,"ENSG00000008513.13","ST3GAL1"
4126,"ENSG00000008516.15","MMP25"
3209,"ENSG00000008517.15","IL32"
18532,"ENSG00000008710.16","PKD1"
5901,"ENSG00000008735.13","MAPK8IP2"
6962,"ENSG00000008838.16","MED24"
6580,"ENSG00000008853.15","RHOBTB2"
8206,"ENSG00000008869.10","HEATR5B"
7928,"ENSG00000008952.15","SEC62"
3002,"ENSG00000008988.8","RPS20"
5778,"ENSG00000009307.14","CSDE1"
9220,"ENSG00000009335.16","UBE3C"
12425,"ENSG00000009413.14","REV3L"
12896,"ENSG00000009694.12","TENM1"
6313,"ENSG00000009709.10","PAX7"
4251,"ENSG00000009724.15","MASP2"
10362,"ENSG00000009765.13","IYD"
4034,"ENSG00000009780.14","FAM76A"
7750,"ENSG00000009790.13","TRAF3IP3"
10012,"ENSG00000009830.10","POMT2"
7262,"ENSG00000009844.14","VTA1"
4815,"ENSG00000009950.14","MLXIPL"
7053,"ENSG00000009954.9","BAZ1B"
3347,"ENSG00000010017.12","RANBP9"
2374,"ENSG00000010030.12","ETV7"
5906,"ENSG00000010072.14","SPRTN"
3827,"ENSG00000010165.18","METTL13"
7054,"ENSG00000010219.12","DYRK4"
15834,"ENSG00000010244.15","ZNF207"
3236,"ENSG00000010256.9","UQCRC1"
4348,"ENSG00000010270.12","STARD3NL"
3299,"ENSG00000010278.10","CD9"
2891,"ENSG00000010282.13","HHATL"
6487,"ENSG00000010292.11","NCAPD2"
5203,"ENSG00000010295.18","IFFO1"
4736,"ENSG00000010310.7","GIPR"
3463,"ENSG00000010318.18","PHF7"
5011,"ENSG00000010319.5","SEMA3G"
9161,"ENSG00000010322.14","NISCH"
10588,"ENSG00000010327.9","STAB1"
2950,"ENSG00000010361.12","FUZ"
4243,"ENSG00000010379.14","SLC6A13"
9292,"ENSG00000010404.16","IDS"
1664,"ENSG00000010438.15","PRSS3"
7498,"ENSG00000010539.10","ZNF200"
4583,"ENSG00000010610.8","CD4"
3054,"ENSG00000010626.13","LRRC23"
4575,"ENSG00000010671.14","BTK"
5675,"ENSG00000010704.17","HFE"
4447,"ENSG00000010803.15","SCMH1"
7411,"ENSG00000010810.16","FYN"
9774,"ENSG00000010818.7","HIVEP2"
3602,"ENSG00000010932.14","FMO1"
5391,"ENSG00000011007.11","TCEB3"
2196,"ENSG00000011009.9","LYPLA2"
6938,"ENSG00000011021.20","CLCN6"
6860,"ENSG00000011028.12","MRC2"
1241,"ENSG00000011052.20","NME2"
4391,"ENSG00000011083.7","SLC6A7"
5714,"ENSG00000011105.10","TSPAN9"
11333,"ENSG00000011114.13","BTBD7"
5556,"ENSG00000011132.10","APBA3"
4078,"ENSG00000011143.15","MKS1"
3172,"ENSG00000011198.6","ABHD5"
7132,"ENSG00000011201.9","KAL1"
5081,"ENSG00000011243.16","AKAP8L"
7201,"ENSG00000011258.14","MBTD1"
2721,"ENSG00000011260.12","UTP18"
7619,"ENSG00000011275.17","RNF216"
5966,"ENSG00000011295.14","TTC19"
6883,"ENSG00000011304.15","PTBP1"
4800,"ENSG00000011332.18","DPF1"
5953,"ENSG00000011347.8","SYT7"
5393,"ENSG00000011376.8","LARS2"
9204,"ENSG00000011405.12","PIK3C2A"
4457,"ENSG00000011422.10","PLAUR"
6012,"ENSG00000011426.9","ANLN"
7965,"ENSG00000011451.16","WIZ"
9162,"ENSG00000011454.15","RABGAP1"
12847,"ENSG00000011465.15","DCN"
2396,"ENSG00000011478.10","QPCTL"
7059,"ENSG00000011485.13","PPP5C"
8623,"ENSG00000011523.12","CEP68"
6067,"ENSG00000011566.13","MAP4K3"
2770,"ENSG00000011590.12","ZBTB32"
907,"ENSG00000011600.10","TYROBP"
2558,"ENSG00000011638.9","TMEM159"
4193,"ENSG00000011677.11","GABRA3"
8802,"ENSG00000012048.18","BRCA1"
5576,"ENSG00000012061.14","ERCC1"
6159,"ENSG00000012124.13","CD22"
5768,"ENSG00000012171.16","SEMA3B"
8927,"ENSG00000012174.10","MBTPS2"
3194,"ENSG00000012211.11","PRICKLE3"
4247,"ENSG00000012223.11","LTF"
13220,"ENSG00000012232.7","EXTL3"
3460,"ENSG00000012504.12","NR1H4"
3813,"ENSG00000012660.12","ELOVL5"
3730,"ENSG00000012779.9","ALOX5"
9463,"ENSG00000012817.14","KDM5D"
8898,"ENSG00000012822.14","CALCOCO1"
3694,"ENSG00000012963.12","UBR7"
7620,"ENSG00000012983.10","MAP4K5"
4636,"ENSG00000013016.13","EHD3"
2387,"ENSG00000013275.6","PSMC4"
8898,"ENSG00000013288.7","MAN2B2"
10459,"ENSG00000013293.5","SLC7A14"
6032,"ENSG00000013297.9","CLDN11"
3526,"ENSG00000013306.14","SLC25A39"
6141,"ENSG00000013364.17","MVP"
5411,"ENSG00000013374.14","NUB1"
7335,"ENSG00000013375.14","PGM3"
3744,"ENSG00000013392.7","RWDD2A"
5170,"ENSG00000013441.14","CLK1"
4858,"ENSG00000013503.8","POLR3B"
6414,"ENSG00000013523.8","ANGEL1"
4987,"ENSG00000013561.16","RNF14"
4130,"ENSG00000013563.12","DNASE1L1"
8374,"ENSG00000013573.15","DDX11"
3442,"ENSG00000013583.7","HEBP1"
8440,"ENSG00000013588.5","GPRC5A"
5958,"ENSG00000013619.12","MAMLD1"
5958,"ENSG00000013725.13","CD6"
6528,"ENSG00000013810.17","TACC3"
4539,"ENSG00000014123.9","UFL1"
5726,"ENSG00000014138.7","POLA2"
3731,"ENSG00000014164.6","ZC3H3"
7553,"ENSG00000014216.14","CAPN1"
4193,"ENSG00000014257.14","ACPP"
4990,"ENSG00000014641.16","MDH1"
7225,"ENSG00000014824.12","SLC30A9"
4591,"ENSG00000014914.18","MTMR11"
4177,"ENSG00000014919.11","COX15"
12426,"ENSG00000015133.17","CCDC88C"
10839,"ENSG00000015153.13","YAF2"
5300,"ENSG00000015171.17","ZMYND11"
2381,"ENSG00000015285.9","WAS"
2737,"ENSG00000015413.8","DPEP1"
4446,"ENSG00000015475.17","BID"
11772,"ENSG00000015479.16","MATR3"
5252,"ENSG00000015520.13","NPC1L1"
5472,"ENSG00000015532.8","XYLT2"
14175,"ENSG00000015568.11","RGPD5"
3294,"ENSG00000015592.15","STMN4"
10113,"ENSG00000015676.16","NUDCD3"
2882,"ENSG00000016082.13","ISL1"
7758,"ENSG00000016391.9","CHDH"
4730,"ENSG00000016402.11","IL20RA"
3340,"ENSG00000016490.14","CLCA1"
3447,"ENSG00000016602.9","CLCA4"
3916,"ENSG00000016864.15","GLT8D1"
8533,"ENSG00000017260.18","ATP2C1"
8087,"ENSG00000017427.14","IGF1"
4014,"ENSG00000017483.13","SLC38A5"
4979,"ENSG00000017797.10","RALBP1"
8070,"ENSG00000018189.11","RUFY3"
7492,"ENSG00000018236.13","CNTN1"
8676,"ENSG00000018280.15","SLC11A1"
8413,"ENSG00000018408.13","WWTR1"
8197,"ENSG00000018510.11","AGPS"
2580,"ENSG00000018610.12","CXorf56"
6298,"ENSG00000018625.13","ATP1A2"
3185,"ENSG00000018699.10","TTC27"
3350,"ENSG00000018869.15","ZNF582"
1432,"ENSG00000019102.10","VSIG2"
21722,"ENSG00000019144.15","PHLDB1"
2079,"ENSG00000019169.10","MARCO"
3972,"ENSG00000019186.8","CYP24A1"
13954,"ENSG00000019485.11","PRDM11"
5424,"ENSG00000019505.6","SYT13"
2282,"ENSG00000019549.7","SNAI2"
3184,"ENSG00000019582.13","CD74"
8897,"ENSG00000019991.14","HGF"
5993,"ENSG00000019995.6","ZRANB1"
4917,"ENSG00000020129.14","NCDN"
7061,"ENSG00000020181.16","GPR124"
6997,"ENSG00000020256.18","ZFP64"
3865,"ENSG00000020426.9","MNAT1"
12170,"ENSG00000020577.12","SAMD4A"
4523,"ENSG00000020633.17","RUNX3"
7689,"ENSG00000020922.11","MRE11A"
4933,"ENSG00000021300.12","PLEKHB1"
3094,"ENSG00000021355.11","SERPINB1"
2637,"ENSG00000021461.15","CYP3A43"
2597,"ENSG00000021488.11","SLC7A9"
5213,"ENSG00000021574.10","SPAST"
15206,"ENSG00000021645.16","NRXN3"
7466,"ENSG00000021762.18","OSBPL5"
13528,"ENSG00000021776.9","AQR"
10444,"ENSG00000021826.13","CPS1"
2729,"ENSG00000021852.11","C8B"
5997,"ENSG00000022267.15","FHL1"
4063,"ENSG00000022277.11","RTFDC1"
5494,"ENSG00000022355.13","GABRA1"
6313,"ENSG00000022556.14","NLRP2"
8608,"ENSG00000022567.8","SLC45A4"
5911,"ENSG00000022840.14","RNF10"
5590,"ENSG00000022976.14","ZNF839"
3748,"ENSG00000023041.10","ZDHHC6"
9770,"ENSG00000023171.13","GRAMD1B"
7374,"ENSG00000023191.15","RNH1"
12268,"ENSG00000023228.12","NDUFS1"
7615,"ENSG00000023287.11","RB1CC1"
4854,"ENSG00000023318.7","ERP44"
2536,"ENSG00000023330.13","ALAS1"
7518,"ENSG00000023445.12","BIRC3"
9920,"ENSG00000023516.8","AKAP11"
1299,"ENSG00000023572.7","GLRX2"
2656,"ENSG00000023608.4","SNAPC1"
2844,"ENSG00000023697.11","DERA"
2211,"ENSG00000023734.9","STRAP"
6232,"ENSG00000023839.9","ABCC2"
2545,"ENSG00000023892.10","DEF6"
6565,"ENSG00000023902.12","PLEKHO1"
5420,"ENSG00000023909.8","GCLM"
8840,"ENSG00000024048.9","UBR2"
3923,"ENSG00000024422.10","EHD2"
5904,"ENSG00000024526.15","DEPDC1"
1507,"ENSG00000024862.15","CCDC28A"
5072,"ENSG00000025039.13","RRAGD"
2702,"ENSG00000025156.11","HSF2"
8384,"ENSG00000025293.14","PHF20"
2272,"ENSG00000025423.10","HSD17B6"
4533,"ENSG00000025434.17","NR1H3"
3349,"ENSG00000025708.11","TYMP"
3159,"ENSG00000025770.17","NCAPH2"
2062,"ENSG00000025772.7","TOMM34"
8587,"ENSG00000025796.12","SEC63"
7480,"ENSG00000025800.12","KPNA6"
4965,"ENSG00000026025.12","VIM"
8752,"ENSG00000026036.19","RTEL1-TNFRSF6B"
3688,"ENSG00000026103.18","FAS"
7643,"ENSG00000026297.14","RNASET2"
10057,"ENSG00000026508.15","CD44"
5437,"ENSG00000026559.12","KCNG1"
8769,"ENSG00000026652.12","AGPAT4"
4833,"ENSG00000026751.15","SLAMF7"
5547,"ENSG00000026950.15","BTN3A1"
3407,"ENSG00000027001.8","MIPEP"
8809,"ENSG00000027075.12","PRKCH"
5101,"ENSG00000027644.4","INSRR"
2571,"ENSG00000027697.11","IFNGR1"
4927,"ENSG00000027847.12","B4GALT7"
2512,"ENSG00000027869.10","SH2D2A"
3509,"ENSG00000028116.15","VRK2"
3766,"ENSG00000028137.15","TNFRSF1B"
8757,"ENSG00000028203.16","VEZT"
8903,"ENSG00000028277.19","POU2F2"
9572,"ENSG00000028310.16","BRD9"
9780,"ENSG00000028528.13","SNX1"
5039,"ENSG00000028839.8","TBPL1"
6983,"ENSG00000029153.13","ARNTL2"
9297,"ENSG00000029363.14","BCLAF1"
7136,"ENSG00000029364.10","SLC39A9"
10799,"ENSG00000029534.18","ANK1"
1546,"ENSG00000029559.6","IBSP"
2736,"ENSG00000029639.9","TFB1M"
6531,"ENSG00000029725.15","RABEP1"
3967,"ENSG00000029993.13","HMGB3"
8576,"ENSG00000030066.12","NUP160"
2212,"ENSG00000030110.11","BAK1"
4182,"ENSG00000030304.11","MUSK"
12240,"ENSG00000030419.15","IKZF2"
3520,"ENSG00000030582.15","GRN"
6808,"ENSG00000031003.9","FAM13B"
9384,"ENSG00000031081.9","ARHGAP31"
1733,"ENSG00000031691.6","CENPQ"
3836,"ENSG00000031698.11","SARS"
7445,"ENSG00000031823.13","RANBP3"
7568,"ENSG00000032219.17","ARID4A"
5775,"ENSG00000032389.11","TSSC1"
7055,"ENSG00000032444.14","PNPLA6"
6111,"ENSG00000032742.16","IFT88"
4496,"ENSG00000033011.10","ALG1"
8690,"ENSG00000033030.12","ZCCHC8"
4448,"ENSG00000033050.6","ABCF2"
4205,"ENSG00000033100.13","CHPF2"
14652,"ENSG00000033122.17","LRRC7"
6700,"ENSG00000033170.15","FUT8"
11432,"ENSG00000033178.11","UBA6"
6771,"ENSG00000033327.11","GAB2"
10955,"ENSG00000033627.13","ATP6V0A1"
10776,"ENSG00000033800.12","PIAS1"
9616,"ENSG00000033867.15","SLC4A7"
6869,"ENSG00000034053.13","APBA2"
3783,"ENSG00000034152.17","MAP2K3"
5805,"ENSG00000034239.9","EFCAB1"
496,"ENSG00000034510.5","TMSB10"
3427,"ENSG00000034533.10","ASTE1"
6049,"ENSG00000034677.10","RNF19A"
2222,"ENSG00000034693.13","PEX3"
3034,"ENSG00000034713.6","GABARAPL2"
2095,"ENSG00000034971.13","MYOC"
11165,"ENSG00000035115.20","SH3YL1"
3086,"ENSG00000035141.6","FAM136A"
9992,"ENSG00000035403.15","VCL"
3806,"ENSG00000035499.11","DEPDC1B"
13612,"ENSG00000035664.10","DAPK2"
6165,"ENSG00000035681.6","NSMAF"
3666,"ENSG00000035687.9","ADSS"
1655,"ENSG00000035720.6","STAP1"
5633,"ENSG00000035862.11","TIMP2"
6713,"ENSG00000035928.13","RFC1"
5168,"ENSG00000036054.11","TBC1D23"
11505,"ENSG00000036257.11","CUL3"
7062,"ENSG00000036448.8","MYOM2"
1585,"ENSG00000036473.6","OTC"
9352,"ENSG00000036530.7","CYP46A1"
9008,"ENSG00000036549.11","ZZZ3"
3910,"ENSG00000036565.13","SLC18A1"
4538,"ENSG00000036672.14","USP2"
5398,"ENSG00000036828.12","CASR"
2772,"ENSG00000037042.8","TUBG2"
1164,"ENSG00000037241.6","RPL26L1"
8852,"ENSG00000037280.14","FLT4"
5506,"ENSG00000037474.13","NSUN2"
8984,"ENSG00000037637.9","FBXO42"
4792,"ENSG00000037749.10","MFAP3"
3456,"ENSG00000037757.12","MRI1"
2621,"ENSG00000037897.15","METTL1"
1889,"ENSG00000037965.5","HOXC8"
2675,"ENSG00000038002.7","AGA"
3540,"ENSG00000038210.12","PI4K2B"
15860,"ENSG00000038219.11","BOD1L1"
5153,"ENSG00000038274.15","MAT2B"
7522,"ENSG00000038295.6","TLL1"
6173,"ENSG00000038358.13","EDC4"
17500,"ENSG00000038382.16","TRIO"
14831,"ENSG00000038427.14","VCAN"
12387,"ENSG00000038532.13","CLEC16A"
7812,"ENSG00000038945.13","MSR1"
6177,"ENSG00000039068.17","CDH1"
6578,"ENSG00000039123.14","SKIV2L2"
16475,"ENSG00000039139.9","DNAH5"
11461,"ENSG00000039319.15","ZFYVE16"
6729,"ENSG00000039523.16","FAM65A"
4739,"ENSG00000039537.12","C6"
7687,"ENSG00000039560.12","RAI14"
3471,"ENSG00000039600.9","SOX30"
4025,"ENSG00000039650.8","PNKP"
2646,"ENSG00000039987.5","BEST2"
12493,"ENSG00000040199.17","PHLPP2"
4777,"ENSG00000040275.15","SPDL1"
8998,"ENSG00000040341.16","STAU2"
2686,"ENSG00000040487.11","PQLC2"
3398,"ENSG00000040531.13","CTNS"
3339,"ENSG00000040608.12","RTN4R"
2783,"ENSG00000040633.11","PHF23"
3660,"ENSG00000040731.9","CDH10"
13187,"ENSG00000040933.14","INPP4A"
7432,"ENSG00000041353.8","RAB27B"
6996,"ENSG00000041357.14","PSMA4"
9209,"ENSG00000041515.14","MYO16"
4818,"ENSG00000041802.9","LSG1"
2928,"ENSG00000041880.13","PARP3"
9636,"ENSG00000041982.13","TNC"
4072,"ENSG00000041988.14","THAP3"
6009,"ENSG00000042062.10","FAM65C"
6227,"ENSG00000042088.12","TDP1"
5135,"ENSG00000042286.13","AIFM2"
2087,"ENSG00000042304.9","C2orf83"
6872,"ENSG00000042317.15","SPATA7"
10773,"ENSG00000042429.9","MED17"
4005,"ENSG00000042445.12","RETSAT"
2607,"ENSG00000042493.14","CAPG"
1704,"ENSG00000042753.10","AP2S1"
20506,"ENSG00000042781.11","USH2A"
2643,"ENSG00000042813.6","ZPBP"
11132,"ENSG00000042832.10","TG"
9351,"ENSG00000042980.11","ADAM28"
3660,"ENSG00000043039.6","BARX2"
8412,"ENSG00000043093.12","DCUN1D1"
9877,"ENSG00000043143.19","JADE2"
3310,"ENSG00000043355.9","ZIC2"
7244,"ENSG00000043462.10","LCP2"
2663,"ENSG00000043514.14","TRIT1"
2853,"ENSG00000043591.5","ADRB1"
597,"ENSG00000044012.3","GUCA2B"
5628,"ENSG00000044090.7","CUL7"
8830,"ENSG00000044115.19","CTNNA1"
9029,"ENSG00000044446.10","PHKA2"
11064,"ENSG00000044459.13","CNTLN"
6674,"ENSG00000044524.9","EPHA3"
3908,"ENSG00000044574.7","HSPA5"
6190,"ENSG00000046604.11","DSG2"
2424,"ENSG00000046647.12","GEMIN8"
5172,"ENSG00000046651.13","OFD1"
5675,"ENSG00000046653.13","GPM6B"
1991,"ENSG00000046774.9","MAGEC2"
12058,"ENSG00000046889.17","PREX2"
5656,"ENSG00000047056.13","WDR37"
10816,"ENSG00000047188.14","YTHDC2"
5510,"ENSG00000047230.13","CTPS2"
5090,"ENSG00000047249.15","ATP6V1H"
5901,"ENSG00000047315.13","POLR2B"
9832,"ENSG00000047346.11","FAM214A"
12428,"ENSG00000047365.10","ARAP2"
12350,"ENSG00000047410.12","TPR"
7296,"ENSG00000047457.12","CP"
9784,"ENSG00000047578.11","KIAA0556"
3052,"ENSG00000047579.18","DTNBP1"
5206,"ENSG00000047597.5","XK"
6255,"ENSG00000047617.13","ANO2"
4939,"ENSG00000047621.10","C12orf4"
5497,"ENSG00000047634.13","SCML1"
7114,"ENSG00000047644.16","WWC3"
7885,"ENSG00000047648.20","ARHGAP6"
6622,"ENSG00000047662.4","FAM184B"
14896,"ENSG00000047849.20","MAP4"
5011,"ENSG00000047932.12","GOPC"
7856,"ENSG00000047936.9","ROS1"
5719,"ENSG00000048028.10","USP28"
16827,"ENSG00000048052.20","HDAC9"
5215,"ENSG00000048140.16","TSPAN17"
2862,"ENSG00000048162.18","NOP16"
7564,"ENSG00000048342.14","CC2D2A"
5548,"ENSG00000048392.10","RRM2B"
5793,"ENSG00000048405.8","ZNF800"
1118,"ENSG00000048462.9","TNFRSF17"
